tide,hours
6.57,32.11666666666667
-0.39,39.61666666666667
5.38,56.916666666666664
-1.74,64.41666666666667
5.26,81.75
-1.36,89.23333333333333
4.13,106.58333333333333
-1.15,114.0
3.48,131.46666666666667
-1.61,138.76666666666668
2.62,156.36666666666667
0.05,163.51666666666668
1.83,181.4
1.01,188.26666666666668
3.57,195.36666666666667
0.73,213.01666666666668
4.54,220.11666666666667
2.17,237.76666666666668
3.76,244.83333333333334
2.88,251.96666666666667
3.9,269.51666666666665
1.92,276.93333333333334
4.73,294.1333333333333
1.74,301.75
5.66,318.78333333333336
0.79,326.4166666666667
5.33,343.3666666666667
-0.04,351.0
5.23,367.98333333333335
-1.12,375.56666666666666
6.67,392.56666666666666
-0.61,400.1333333333333
4.74,417.1666666666667
-0.93,424.68333333333334
4.69,441.75
-1.29,449.2
4.2,466.35
0.22,473.75
3.68,490.95
0.26,498.25
2.47,515.6333333333333
0.36,522.8
2.59,540.4166666666666
0.99,547.3333333333334
4.1,554.3666666666667
1.87,571.8666666666667
3.17,578.9666666666667
1.6,596.5
3.71,603.6166666666667
3.1,610.7333333333333
4.04,628.3833333333333
2.49,635.9166666666666
4.07,653.25
2.18,660.95
5.93,678.15
0.7,685.8333333333334
6.89,703.0833333333334
0.21,710.65
6.72,727.9666666666667
0.22,735.45
6.77,752.8333333333334
-1.68,760.1666666666666
5.77,777.6666666666666
-1.32,784.8666666666667
4.35,802.5
-0.73,809.5666666666667
4.23,827.3166666666667
-0.38,834.2
2.24,852.1666666666666
-0.61,858.8166666666667
3.45,865.5333333333333
-0.46,883.4
4.13,890.2166666666667
1.21,908.0
3.34,914.9
2.58,921.9
3.32,939.65
3.26,947.25
5.21,964.4833333333333
2.39,972.3666666666667
4.83,989.35
2.41,997.2333333333333
